name,BC
昌吉东路,0.02958047868227509
虹漕路,0.02958047868227509
大渡河路,0.02958047868227509
野生动物园,0.02958047868227509
汇金路,0.02958047868227509
国际客运中心,0.028896097277369564
东安路,0.028619915521550816
云山路,0.028172214720124877
新天地,0.027809508400380854
金海路,0.027728329253174304
打浦桥,0.027184803035686184
提篮桥,0.026188599360290818
长寿路,0.0258003187958958
伊犁路,0.025701350052647447
呼兰路,0.023736311161460865
川沙,0.023736311161460865
水产路,0.023736311161460865
环城东路,0.023736311161460865
洲海路,0.023736311161460865
顾村公园,0.023736311161460865
延吉中路,0.023736311161460865
芦恒路,0.023736311161460865
松江大学城,0.023736311161460865
五角场,0.023736311161460865
御桥,0.023736311161460865
上海汽车城,0.023736311161460865
虹梅路,0.023736311161460865
真北路,0.023736311161460865
